City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,freetown,8.484,-13.2299,29.84,54,63,6.17,SL,1710434435
84,dazhou,31.2159,107.5009,16.16,72,100,0.91,CN,1710434435
85,nizhniy odes,63.6445,54.856,-13.18,97,85,2.95,RU,1710434435
86,kapoeta,4.7717,33.5903,34.52,26,53,6.43,SS,1710434435
87,togur,58.3631,82.8265,-9.36,90,100,4.02,RU,1710434435
88,pigeon forge,35.7884,-83.5543,23.81,49,0,3.09,US,1710434435
89,novozybkov,52.5396,31.9275,4.21,71,14,3.11,RU,1710434435
90,schleusingen,50.5167,10.75,13.22,85,96,1.88,DE,1710434435
91,valparaiso,-33.0393,-71.6273,29.52,42,0,5.14,CL,1710434287
92,tazovsky,67.4667,78.7,-16.53,95,100,4.74,RU,1710434435
93,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,74,75,2.06,BR,1710434435
94,broome,42.2506,-75.833,16.46,48,0,1.54,US,1710434435
95,florida,28.7505,-82.5001,27.22,54,0,0.0,US,1710434151
96,cole harbour,44.6724,-63.4751,9.4,68,20,1.54,CA,1710434435
97,iskateley,67.6803,53.1512,-14.43,96,69,3.13,RU,1710434435
98,tsiombe,-25.3,45.4833,24.02,85,88,2.47,MG,1710434436
99,keflavik,64.0049,-22.5624,2.95,60,75,7.2,IS,1710434436
100,neryungri,56.6709,124.6491,-10.23,95,100,3.23,RU,1710434436
101,tateyama,34.9833,139.8667,10.05,66,5,5.91,JP,1710434436
102,tofol,5.3248,163.0078,28.08,78,99,9.0,FM,1710434436
103,dudinka,69.4058,86.1778,-16.88,96,99,5.95,RU,1710434436
104,asau,46.4333,26.4,2.51,92,100,1.24,RO,1710434436
105,altar,30.7,-111.8167,18.16,37,18,1.94,MX,1710434436
106,ilulissat,69.2167,-51.1,-10.99,85,75,0.0,GL,1710434436
107,zemio,5.0314,25.1361,33.42,25,73,1.5,CF,1710434436
108,kapchorwa,1.3965,34.4509,23.05,39,98,4.7,UG,1710434437
109,tura,25.5198,90.2201,21.83,25,0,1.08,IN,1710434437
110,moroto,2.5345,34.6666,27.33,34,31,8.57,UG,1710434437
111,talnakh,69.4865,88.3972,-17.11,96,99,3.85,RU,1710434252
112,ulsteinvik,62.3432,5.8487,7.73,85,70,9.39,NO,1710434437
113,alice springs,-23.7,133.8833,22.75,40,5,2.57,AU,1710434189
114,mossel bay,-34.1831,22.146,19.96,81,66,4.1,ZA,1710434437
115,tual,-5.6667,132.75,28.58,80,100,11.27,ID,1710434437
116,caorle,45.5966,12.8758,15.74,81,100,1.87,IT,1710434437
117,nallihan,40.1859,31.3518,10.37,62,41,1.27,TR,1710434437
118,okhotsk,59.3833,143.3,-16.82,73,3,8.93,RU,1710434437
119,grabouw,-34.1515,19.0151,19.22,68,60,2.17,ZA,1710434437
120,carnarvon,-24.8667,113.6333,28.02,67,13,6.67,AU,1710434437
121,singkil,-7.9855,111.4161,24.4,97,100,0.55,ID,1710434438
122,tolanaro,-25.0319,46.9987,23.04,94,75,10.8,MG,1710434438
123,narasannapeta,18.4167,84.05,26.42,78,19,3.53,IN,1710434438
124,enewetak,11.3474,162.3373,26.22,79,100,8.83,MH,1710434438
125,praia da vitoria,38.7333,-27.0667,21.14,60,20,9.28,PT,1710434438
126,mafinga,-7.25,35.0667,22.38,81,67,1.75,TZ,1710434438
127,malmberget,67.1753,20.6549,-7.69,93,83,0.0,SE,1710434438
128,sijunjung,-0.6876,100.9537,23.28,93,97,0.75,ID,1710434438
129,astorga,-23.2325,-51.6656,34.13,28,9,2.05,BR,1710434438
130,dingcheng,32.1272,115.0394,8.87,92,2,3.53,CN,1710434438
131,union city,37.5958,-122.0192,16.03,37,0,8.75,US,1710434249
132,puerto baquerizo moreno,-0.9,-89.6,26.55,94,100,1.54,EC,1710434439
133,stanley,54.868,-1.6985,12.77,85,75,4.63,GB,1710434439
134,salahonda,2.1019,-78.7217,27.48,82,78,3.93,CO,1710434439
135,qaqortoq,60.7167,-46.0333,-1.42,75,18,2.38,GL,1710434439
136,alofi,-19.0595,-169.9187,23.94,94,100,1.54,NU,1710434439
137,cockburn town,21.4612,-71.1419,25.15,81,44,7.96,TC,1710434146
138,hauterive,46.0901,3.4459,20.42,69,100,2.31,FR,1710434439
139,pacasmayo,-7.4006,-79.5714,26.33,68,71,5.15,PE,1710434439
140,altai,46.3722,96.2583,-5.21,85,100,1.84,MN,1710434439
141,bathsheba,13.2167,-59.5167,29.34,74,75,8.75,BB,1710434439
142,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,86,100,22.35,RU,1710434439
143,bonthe,7.5264,-12.505,29.64,67,59,6.32,SL,1710434439
144,puerto santa,-8.9906,-78.6456,25.23,73,28,4.05,PE,1710434440
145,cono norte,-16.3166,-71.5829,20.03,46,20,5.14,PE,1710434440
146,ciudad melchor muzquiz,27.8833,-101.5167,30.83,8,44,2.91,MX,1710434440
147,shengli,37.4564,118.4856,11.63,39,0,3.54,CN,1710434440
